f0:ec:af:cf:6c:e1,c2:b6:6e:70:fa:f7,d9:5f:f5:4f:10:89,c4:52:32:5c:31:e7,e9:3c:4a:34:13:fb,ed:61:e4:e8:22:30,ea:01:26:75:a4:c3,d0:4e:10:2e:cb:84,e4:e0:0a:ae:fd:e2,fa:35:76:56:6f:e3,d5:b7:dc:69:ca:ae,ca:81:7a:d7:55:49,e7:2b:ea:2f:95:c5,d4:32:fc:b5:f0:b5,True_ID,Predicted_ID
-200.0,-200.0,-76.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2,2
-85.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,5,7
-200.0,-200.0,-200.0,-200.0,-200.0,-67.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21,21
-200.0,-200.0,-86.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,-93.0,-200.0,-200.0,-200.0,4,4
-200.0,-200.0,-79.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,3,2
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20,21
-89.0,-200.0,-200.0,-200.0,-200.0,-67.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-84.0,-79.0,6,6
-84.0,-200.0,-77.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-77.0,-82.0,-200.0,-200.0,-200.0,13,13
-200.0,-83.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20,20
-78.0,-200.0,-200.0,-95.0,-87.0,-72.0,-91.0,-83.0,-80.0,-200.0,-200.0,-93.0,-92.0,-90.0,16,16
-200.0,-200.0,-200.0,-200.0,-200.0,-54.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,6,6
-200.0,-200.0,-76.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2,2
-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,14,14
-200.0,-200.0,-200.0,-71.0,-200.0,-200.0,-76.0,-89.0,-200.0,-200.0,-200.0,-80.0,-200.0,-200.0,8,8
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20,21
-200.0,-200.0,-200.0,-76.0,-200.0,-200.0,-71.0,-79.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,8,8
-200.0,-200.0,-75.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,3,2
-84.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,1,1
-92.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-87.0,-200.0,-200.0,-200.0,15,15
-89.0,-200.0,-84.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-92.0,-200.0,-200.0,-200.0,15,15
-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-87.0,-200.0,18,18
-92.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-83.0,6,18
-82.0,-200.0,-200.0,-92.0,-88.0,-89.0,-94.0,-64.0,-84.0,-200.0,-200.0,-87.0,-93.0,-89.0,16,16
-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-72.0,-83.0,-200.0,-200.0,-200.0,-71.0,-200.0,-200.0,8,8
-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,3,2
-79.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,7,7
-85.0,-200.0,-76.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-82.0,-85.0,-200.0,-200.0,-200.0,13,13
-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,19,14
-77.0,-200.0,-200.0,-91.0,-200.0,-200.0,-85.0,-60.0,-92.0,-200.0,-200.0,-86.0,-200.0,-200.0,9,9
-200.0,-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-89.0,19,19
-81.0,-200.0,-200.0,-86.0,-200.0,-97.0,-87.0,-58.0,-85.0,-200.0,-200.0,-90.0,-200.0,-200.0,9,9
-80.0,-200.0,-83.0,-200.0,-200.0,-200.0,-200.0,-94.0,-200.0,-72.0,-94.0,-200.0,-200.0,-200.0,13,13
-200.0,-200.0,-87.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,-200.0,4,4
-87.0,-93.0,-93.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-96.0,-200.0,-92.0,-200.0,-87.0,7,7
-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-83.0,-93.0,-90.0,-200.0,-200.0,-80.0,-200.0,-200.0,11,11
-200.0,-200.0,-63.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,3,3
-84.0,-80.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20,20
-91.0,-200.0,-200.0,-80.0,-200.0,-200.0,-89.0,-63.0,-91.0,-200.0,-200.0,-85.0,-200.0,-200.0,9,9
-84.0,-87.0,-97.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-83.0,7,7
-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,-88.0,-200.0,-200.0,-200.0,4,4
-200.0,-200.0,-200.0,-200.0,-200.0,-96.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-83.0,19,19
-78.0,-200.0,-200.0,-87.0,-200.0,-92.0,-99.0,-72.0,-80.0,-200.0,-200.0,-68.0,-200.0,-200.0,23,23
-200.0,-200.0,-200.0,-200.0,-200.0,-77.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,14,14
-200.0,-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,19,19
-200.0,-200.0,-75.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2,2
-91.0,-200.0,-86.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-84.0,-89.0,-200.0,-200.0,-200.0,4,4
-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,14,14
-78.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,5,5
